"code_id","mel_code"
2050,257
2052,258
2055,259
2056,260
2059,261
2061,262
2062,263
2064,264
2067,265
2069,266
2070,267
2073,268
2074,269
2076,270
2079,271
2080,272
2083,273
2085,274
2086,275
2089,276
2090,277
2092,278
2095,279
2097,280
2098,281
2100,282
2103,283
2104,284
2107,285
2109,286
2110,287
2112,288
2115,289
2117,290
2118,291
2121,292
2122,293
2124,294
2127,295
2129,296
2130,297
2132,298
2135,299
2136,300
2139,301
2141,302
2142,303
2145,304
2146,305
2148,306
2151,307
2152,308
2155,309
2157,310
2158,311
2160,312
2163,313
2165,314
2166,315
2169,316
2170,317
2172,318
2175,319
2176,320
2179,321
2181,322
2182,323
2185,324
2186,325
2188,326
2191,327
2193,328
2194,329
2196,330
2199,331
2200,332
2203,333
2205,334
2206,335
2209,336
2210,337
2212,338
2215,339
2216,340
2219,341
2221,342
2222,343
2224,344
2227,345
2229,346
2230,347
2233,348
2234,349
2236,350
2239,351
2241,352
2242,353
2244,354
2247,355
2248,356
2251,357
2253,358
2254,359
2256,360
2259,361
2261,362
2262,363
2265,364
2266,365
2268,366
2271,367
2272,368
2275,369
2277,370
2278,371
2281,372
2282,373
2284,374
2287,375
2289,376
2290,377
2292,378
2295,379
2296,380
2299,381
2301,382
2302,383
2304,384
2307,385
2309,386
2310,387
2313,388
2314,389
2316,390
2319,391
2321,392
2322,393
2324,394
2327,395
2328,396
2331,397
2333,398
2334,399
2337,400
2338,401
2340,402
2343,403
2344,404
2347,405
2349,406
2350,407
2352,408
2355,409
2357,410
2358,411
2361,412
2362,413
2364,414
2367,415
2369,416
2370,417
2372,418
2375,419
2376,420
2379,421
2381,422
2382,423
2384,424
2387,425
2389,426
2390,427
2393,428
2394,429
2396,430
2399,431
2400,432
2403,433
2405,434
2406,435
2409,436
2410,437
2412,438
2415,439
2417,440
2418,441
2420,442
2423,443
2424,444
2427,445
2429,446
2430,447
2433,448
2434,449
2436,450
2439,451
2440,452
2443,453
2445,454
2446,455
2448,456
2451,457
2453,458
2454,459
2457,460
2458,461
2460,462
2463,463
2464,464
2467,465
2469,466
2470,467
2473,468
2474,469
2476,470
2479,471
2481,472
2482,473
2484,474
2487,475
2488,476
2491,477
2493,478
2494,479
2496,480
2499,481
2501,482
2502,483
2505,484
2506,485
2508,486
2511,487
2513,488
2514,489
2516,490
2519,491
2520,492
2523,493
2525,494
2526,495
2529,496
2530,497
2532,498
2535,499
2536,500
2539,501
2541,502
2542,503
2544,504
2547,505
2549,506
2550,507
2553,508
2554,509
2556,510
2559,511
4097,512
4098,513
4100,514
4103,515
4104,516
4107,517
4109,518
4110,519
4112,520
4115,521
4117,522
4118,523
4121,524
4122,525
4124,526
4127,527
4128,528
4131,529
4133,530
4134,531
4137,532
4138,533
4140,534
4143,535
4145,536
4146,537
4148,538
4151,539
4152,540
4155,541
4157,542
4158,543
4160,544
4163,545
4165,546
4166,547
4169,548
4170,549
